G o. </w>	Va </w> ! </w>
Can </w> you </w> meet </w> him? </w>	Peux-tu </w> le </w> rencontrer </w> ? </w>
Can </w> you </w> prove </w> it? </w>	Pouvez-vous </w> le </w> prouver </w> ? </w>
Can </w> you </w> prove </w> it? </w>	Peux-tu </w> le </w> prouver </w> ? </w>
Can </w> you </w> save </w> Tom? </w>	Peux-tu </w> sauver </w> Tom </w> ? </w>
Can </w> you </w> save </w> Tom? </w>	Pouvez-vous </w> sauver </w> Tom </w> ? </w>
Can </w> you </w> spell </w> it? </w>	Pouvez-vous </w> l'é peler </w> ? </w>
Can </w> you </w> spell </w> it? </w>	Peux-tu </w> l'é peler </w> ? </w>
Change </w> is </w> needed. </w>	Du </w> changement </w> est </w> nécessaire. </w>
Check </w> your </w> order. </w>	Vérifiez </w> votre </w> commande. </w>
Choose </w> carefully. </w>	Choisis </w> soigneusement. </w>
Choose </w> carefully. </w>	Choisissez </w> soigneusement. </w>
Choose </w> something. </w>	Choisis </w> quelque </w> chose. </w>
Choose </w> something. </w>	Choisissez </w> quelque </w> chose. </w>
Cli mb </w> to </w> the </w> top. </w>	Monte </w> au </w> sommet. </w>
Close </w> the </w> blind s. </w>	Fermez </w> les </w> stores. </w>
Close </w> the </w> blind s. </w>	Ferme </w> les </w> stores. </w>
Close </w> the </w> drawer. </w>	Ferme </w> le </w> tiroir. </w>
Close </w> the </w> drawer. </w>	Fermez </w> le </w> tiroir. </w>
Close </w> the </w> window. </w>	Ferme </w> la </w> fenêtre. </w>
Close </w> the </w> window. </w>	Ferme </w> la </w> fenêtre </w> ! </w>
Close </w> the </w> window. </w>	Fermez </w> la </w> fenêtre </w> ! </w>
Close </w> the </w> window. </w>	Fermez </w> la </w> fenêtre. </w>
Close </w> your </w> books. </w>	Fermez </w> vos </w> livres. </w>
Come </w> and </w> help </w> us. </w>	Venez </w> nous </w> aider. </w>
Come </w> and </w> help </w> us. </w>	Viens </w> nous </w> aider. </w>
Come </w> immediately. </w>	Viens </w> immédiatement </w> ! </w>
Come </w> immediately. </w>	Venez </w> immédiatement </w> ! </w>
Come </w> on, </w> grow </w> up. </w>	Enfin, </w> arrête </w> d'agir </w> comme </w> un </w> gosse </w> ! </w>
Come </w> on, </w> grow </w> up. </w>	Enfin, </w> arrêtez </w> d'agir </w> comme </w> des </w> enfants </w> ! </w>
Come </w> on, </w> help </w> me. </w>	Allez, </w> aide -moi. </w>
Come </w> on, </w> help </w> me. </w>	Allez, </w> aide z-moi . </w>
Come </w> on, </w> tell </w> me. </w>	Allez, </w> dis-moi </w> ! </w>
Come </w> on, </w> wake </w> up. </w>	Allez, </w> debout </w> ! </w>
Come </w> run </w> with </w> me. </w>	Viens </w> courir </w> avec </w> moi. </w>
Come </w> run </w> with </w> me. </w>	Venez </w> courir </w> avec </w> moi. </w>
Come </w> sit </w> with </w> us. </w>	Viens </w> t'asseoir </w> avec </w> nous. </w>
Come </w> sit </w> with </w> us. </w>	Venez </w> vous </w> asseoir </w> avec </w> nous. </w>
Come </w> with </w> me </w> now. </w>	Venez </w> avec </w> moi </w> maintenant. </w>
Come </w> with </w> me </w> now. </w>	Viens </w> avec </w> moi </w> maintenant. </w>
Concent rate, </w> Tom. </w>	Concentre -toi, </w> Tom. </w>
Concent rate, </w> Tom. </w>	Concentre z-vous , </w> Tom. </w>
Con sult </w> a </w> doctor. </w>	Con sulte </w> un </w> médecin </w> ! </w>
Continue </w> di gging. </w>	Continue </w> de </w> creus er. </w>
Continue </w> working. </w>	Continue </w> à </w> travailler </w> ! </w>
Control </w> yourself ! </w>	Maî tr ise -toi </w> ! </w>
Control </w> yourself ! </w>	Maî tris ez-vous </w> ! </w>
Control </w> yourself. </w>	Maî tris ez-vous . </w>
Control </w> yourself. </w>	Contr ôle -toi. </w>
Cookie </w> is </w> my </w> dog. </w>	B is cuit </w> est </w> mon </w> chien. </w>
Could </w> I </w> help </w> you? </w>	Puis-je </w> t'aider </w> ? </w>
Cows </w> supply </w> milk. </w>	Les </w> vaches </w> produisent </w> du </w> lait. </w>
Cows </w> supply </w> milk. </w>	Les </w> vaches </w> donnent </w> du </w> lait. </w>
Cross </w> the </w> bridge. </w>	Tra verse </w> le </w> pont. </w>
Cross </w> the </w> street. </w>	Tra verse </w> la </w> rue. </w>
Cross </w> the </w> street. </w>	Tra ver sez </w> la </w> rue. </w>
C rying </w> is </w> normal. </w>	P leure r </w> est </w> normal. </w>
Cut </w> the </w> red </w> wire. </w>	Coupe </w> le </w> fil </w> rouge. </w>
Cut </w> the </w> red </w> wire. </w>	Coupez </w> le </w> fil </w> rouge. </w>
Di al </w> 1 10 </w> at </w> once. </w>	Téléphone z </w> au </w> 1 10 </w> immédiatement. </w>
Did </w> I </w> write </w> that? </w>	Ai-je </w> écrit </w> cela </w> ? </w>
Did </w> I </w> write </w> that? </w>	L'ai-je </w> écrit </w> ? </w>
Did </w> Tom </w> go </w> alone? </w>	Tom </w> y </w> est-il </w> allé </w> seul </w> ? </w>
Did </w> Tom </w> say </w> that? </w>	Tom </w> a </w> dit </w> cela </w> ? </w>
Did </w> anyone </w> laugh? </w>	Quiconque </w> a-t-il </w> ri </w> ? </w>
Did </w> he </w> touch </w> you? </w>	T'a-t-il </w> touché </w> ? </w>
Did </w> he </w> touch </w> you? </w>	Vous </w> a-t-il </w> touché </w> ? </w>
Did </w> he </w> touch </w> you? </w>	Vous </w> a-t-il </w> touchée </w> ? </w>
Did </w> he </w> touch </w> you? </w>	T'a-t-il </w> touchée </w> ? </w>
Did </w> she </w> say </w> that? </w>	A-t-elle </w> dit </w> ça </w> ? </w>
Did </w> the </w> dog </w> bar k? </w>	Le </w> chien </w> aboy ait-il </w> ? </w>
Did </w> they </w> say </w> how? </w>	Ont-ils </w> dit </w> comment </w> ? </w>
Did </w> they </w> say </w> how? </w>	Ont-elles </w> dit </w> comment </w> ? </w>
Did </w> they </w> say </w> why? </w>	Ont-ils </w> dit </w> pourquoi </w> ? </w>
Did </w> they </w> say </w> why? </w>	Ont-elles </w> dit </w> pourquoi </w> ? </w>
Did </w> you </w> find </w> Tom? </w>	Avez-vous </w> trouvé </w> Tom </w> ? </w>
Did </w> you </w> find </w> Tom? </w>	As-tu </w> trouvé </w> Tom </w> ? </w>
Did </w> you </w> have </w> fun? </w>	T'es-tu </w> amusé </w> ? </w>
Did </w> you </w> have </w> fun? </w>	T'es-tu </w> amusée </w> ? </w>
Did </w> you </w> have </w> fun? </w>	Vous </w> êtes-vous </w> amusé </w> ? </w>
Did </w> you </w> have </w> fun? </w>	Vous </w> êtes-vous </w> amusée </w> ? </w>
Did </w> you </w> have </w> fun? </w>	Vous </w> êtes-vous </w> amusées </w> ? </w>
Did </w> you </w> have </w> fun? </w>	Vous </w> êtes-vous </w> amusés </w> ? </w>
Did </w> you </w> kill </w> Tom? </w>	Avez-vous </w> tué </w> Tom </w> ? </w>
Did </w> you </w> kill </w> Tom? </w>	As-tu </w> tué </w> Tom </w> ? </w>
Did </w> you </w> love </w> Tom? </w>	Aim ais-tu </w> Tom </w> ? </w>
Did </w> you </w> love </w> Tom? </w>	Aim iez-vous </w> Tom </w> ? </w>
Did </w> you </w> meet </w> her? </w>	Tu </w> l'as </w> rencontrée </w> ? </w>
Did </w> you </w> meet </w> her? </w>	L'as-tu </w> rencontrée </w> ? </w>
Did </w> you </w> phone </w> me? </w>	Est-ce </w> vous </w> qui </w> m'avez </w> appelée </w> ? </w>
Did </w> you </w> see </w> that? </w>	As-tu </w> vu </w> ça </w> ? </w>
Did </w> you </w> see </w> that? </w>	Avez-vous </w> vu </w> ça </w> ? </w>
Did </w> you </w> stop </w> Tom? </w>	As-tu </w> arrêté </w> Tom </w> ? </w>
Did </w> you </w> stop </w> Tom? </w>	Avez-vous </w> arrêté </w> Tom </w> ? </w>
Did </w> you </w> tell </w> Tom? </w>	L'as-tu </w> dit </w> à </w> Tom </w> ? </w>
Did </w> you </w> tell </w> Tom? </w>	L'avez-vous </w> dit </w> à </w> Tom </w> ? </w>
Did </w> you </w> vote </w> yet? </w>	Avez-vous </w> déjà </w> voté </w> ? </w>
Do </w> I </w> smell </w> bacon ? </w>	Est-ce </w> qu'il </w> n'y </w> aurait </w> pas </w> des </w> flics, </w> dans </w> le </w> coin </w> ? </w>
Do </w> as </w> I </w> tell </w> you. </w>	Fais </w> comme </w> je </w> te </w> dis. </w>
Do </w> as </w> I </w> told </w> you. </w>	Fais </w> comme </w> je </w> t'ai </w> dit. </w>
Do </w> as </w> you </w> please. </w>	Faites </w> comme </w> il </w> vous </w> plaira. </w>
Do </w> it </w> delicate ly. </w>	Fais-le </w> déli cate ment. </w>
Do </w> it </w> delicate ly. </w>	Faites-le </w> déli cate ment. </w>
Do </w> it </w> right </w> away. </w>	Faites-le </w> immédiatement. </w>
Do </w> not </w> come </w> here. </w>	Ne </w> viens </w> pas </w> ici </w> ! </w>
Do </w> not </w> come </w> here. </w>	Ne </w> venez </w> pas </w> ici </w> ! </w>
Do </w> not </w> interfere! </w>	Ne </w> t'en </w> mêle </w> pas </w> ! </w>
Do </w> not </w> interfere! </w>	Ne </w> vous </w> en </w> mêlez </w> pas </w> ! </w>
Do </w> not </w> interfere! </w>	Ne </w> t' immis ce </w> pas </w> là-dedans </w> ! </w>
Do </w> not </w> interfere! </w>	Ne </w> vous </w> immis ce z </w> pas </w> là-dedans </w> ! </w>
Do </w> what </w> you </w> like. </w>	Fais </w> ce </w> que </w> tu </w> aimes. </w>
Do </w> what </w> you </w> want. </w>	Fais </w> ce </w> que </w> tu </w> veux. </w>
Do </w> what </w> you </w> want. </w>	Faites </w> ce </w> que </w> vous </w> voulez. </w>
Do </w> you </w> eat </w> a </w> lot? </w>	Mangez-vous </w> beaucoup </w> ? </w>
Do </w> you </w> eat </w> a </w> lot? </w>	Manges-tu </w> beaucoup </w> ? </w>
Do </w> you </w> even </w> care? </w>	En </w> as-tu </w> même </w> quelque </w> chose </w> à </w> faire </w> ? </w>
Do </w> you </w> feel </w> sick? </w>	Vous </w> ne </w> vous </w> sentez </w> pas </w> bien </w> ? </w>
Do </w> you </w> feel </w> sick? </w>	Te </w> sens-tu </w> malade </w> ? </w>
Do </w> you </w> have </w> beer? </w>	Avez-vous </w> de </w> la </w> bière </w> ? </w>
Do </w> you </w> have </w> them? </w>	Les </w> avez-vous </w> ? </w>
Do </w> you </w> have </w> them? </w>	Tu </w> les </w> as </w> ? </w>
Do </w> you </w> have </w> time? </w>	Est-ce </w> que </w> tu </w> as </w> le </w> temps </w> ? </w>
Do </w> you </w> have </w> time? </w>	Est-ce </w> que </w> vous </w> avez </w> le </w> temps </w> ? </w>
Do </w> you </w> have </w> time? </w>	As-tu </w> un </w> peu </w> de </w> temps </w> ? </w>
Do </w> you </w> hear </w> that? </w>	En ten dez-vous </w> cela </w> ? </w>
Do </w> you </w> know </w> them? </w>	Les </w> connaissez-vous </w> ? </w>
Do </w> you </w> like </w> cats? </w>	Aimes-tu </w> les </w> chats </w> ? </w>
Do </w> you </w> like </w> dogs? </w>	Est-ce </w> que </w> tu </w> aimes </w> les </w> chiens </w> ? </w>
Do </w> you </w> like </w> dogs? </w>	Aimes-tu </w> les </w> chiens </w> ? </w>
Do </w> you </w> like </w> dogs? </w>	Aimez-vous </w> les </w> chiens </w> ? </w>
Do </w> you </w> like </w> fish? </w>	Aimes-tu </w> le </w> poisson </w> ? </w>
Do </w> you </w> like </w> fish? </w>	Vous </w> aimez </w> le </w> poisson ? </w>
Do </w> you </w> like </w> mine? </w>	Aimes-tu </w> le </w> mien </w> ? </w>
Do </w> you </w> like </w> mine? </w>	Aimez-vous </w> le </w> mien </w> ? </w>
Do </w> you </w> like </w> mine? </w>	Aimes-tu </w> la </w> mienne </w> ? </w>
Do </w> you </w> like </w> mine? </w>	Aimez-vous </w> la </w> mienne </w> ? </w>
Do </w> you </w> like </w> mine? </w>	Aimes-tu </w> les </w> miennes </w> ? </w>
Do </w> you </w> like </w> mine? </w>	Aimez-vous </w> les </w> miennes </w> ? </w>
Do </w> you </w> like </w> snow? </w>	Aimez-vous </w> la </w> neige </w> ? </w>
Do </w> you </w> like </w> that? </w>	Ça </w> vous </w> plaît </w> ? </w>
Do </w> you </w> like </w> that? </w>	Ça </w> te </w> plaît </w> ? </w>
Do </w> you </w> like </w> that? </w>	Tu </w> aimes </w> ça </w> ? </w>
Do </w> you </w> like </w> this? </w>	Ça </w> vous </w> plaît </w> ? </w>
Do </w> you </w> like </w> this? </w>	Ça </w> te </w> plaît </w> ? </w>
Do </w> you </w> live </w> here? </w>	Vivez-vous </w> ici </w> ? </w>
Do </w> you </w> live </w> here? </w>	Vous </w> habitez </w> ici </w> ? </w>
Do </w> you </w> live </w> here? </w>	Ré si des-tu </w> ici </w> ? </w>
Do </w> you </w> live </w> here? </w>	Tu </w> vis </w> ici </w> ? </w>
Do </w> you </w> mind </w> much? </w>	T'en </w> souci es-tu </w> beaucoup </w> ? </w>
Do </w> you </w> mind </w> much? </w>	Vous </w> en </w> souci ez-vous </w> beaucoup </w> ? </w>
Do </w> you </w> need </w> help? </w>	As-tu </w> besoin </w> d'aide </w> ? </w>
Do </w> you </w> own </w> a </w> gun? </w>	Po ss è des-tu </w> une </w> arme </w> à </w> feu </w> ? </w>
Do </w> you </w> own </w> a </w> gun? </w>	Possédez-vous </w> une </w> arme </w> à </w> feu </w> ? </w>
Do </w> you </w> play </w> golf? </w>	Joues-tu </w> au </w> golf </w> ? </w>
Do </w> you </w> play </w> golf? </w>	Jouez-vous </w> au </w> golf </w> ? </w>
Do </w> you </w> trust </w> her? </w>	Lui </w> faites-vous </w> confiance </w> ? </w>
Do </w> you </w> trust </w> her? </w>	Lui </w> fais-tu </w> confiance </w> ? </w>
Do </w> you </w> want </w> kids? </w>	Veux-tu </w> des </w> enfants </w> ? </w>
Do </w> you </w> want </w> kids? </w>	Voulez-vous </w> des </w> enfants </w> ? </w>
Do </w> you </w> want </w> this? </w>	Le </w> veux-tu </w> ? </w>
Do </w> you </w> want </w> this? </w>	Le </w> voulez-vous </w> ? </w>
Do </w> you </w> want </w> wine? </w>	Voulez-vous </w> du </w> vin </w> ? </w>
Do </w> you </w> want </w> wine? </w>	Veux-tu </w> du </w> vin </w> ? </w>
Do </w> you </w> work </w> here? </w>	Tu </w> travailles </w> ici </w> ? </w>
Do </w> you </w> work </w> here? </w>	Est-ce </w> que </w> vous </w> travaillez </w> ici </w> ? </w>
Do </w> you </w> work </w> here? </w>	Travaillez-vous </w> ici </w> ? </w>
Do </w> you </w> work </w> here? </w>	Travai lles-tu </w> ici </w> ? </w>
Do </w> your </w> homework. </w>	Fais </w> tes </w> devoirs. </w>
Does </w> anyone </w> care? </w>	Quiconque </w> s'en </w> soucie -t-il </w> ? </w>
Does </w> anyone </w> care? </w>	Qui </w> que </w> ce </w> soit </w> s'en </w> soucie -t-il </w> ? </w>
Dogs </w> are </w> barking. </w>	Des </w> chiens </w> aboient. </w>
Dogs </w> are </w> barking. </w>	Les </w> chiens </w> aboient. </w>
Don't </w> ask </w> me </w> why. </w>	Ne </w> me </w> demandez </w> pas </w> pourquoi. </w>
Don't </w> be </w> a </w> mor on. </w>	Ne </w> sois </w> pas </w> un </w> conn ard </w> ! </w>
Don't </w> be </w> alarmed. </w>	Ne </w> soyez </w> pas </w> alarm é. </w>
Don't </w> be </w> alarmed. </w>	Ne </w> soyez </w> pas </w> al armée. </w>
Don't </w> be </w> alarmed. </w>	Ne </w> sois </w> pas </w> alarm é. </w>
Don't </w> be </w> alarmed. </w>	Ne </w> sois </w> pas </w> al armée. </w>
Don't </w> be </w> alarmed. </w>	Ne </w> soyez </w> pas </w> al armés. </w>
Don't </w> be </w> alarmed. </w>	Ne </w> soyez </w> pas </w> al armées. </w>
Don't </w> be </w> foolish. </w>	Ne </w> sois </w> pas </w> idiot. </w>
Don't </w> be </w> so </w> lazy. </w>	Ne </w> sois </w> pas </w> si </w> paresseux </w> ! </w>
Don't </w> be </w> so </w> lazy. </w>	Ne </w> soyez </w> pas </w> si </w> paresseux </w> ! </w>
Don't </w> be </w> so </w> lazy. </w>	Ne </w> soyez </w> pas </w> si </w> paresseuse </w> ! </w>
Don't </w> be </w> so </w> lazy. </w>	Ne </w> sois </w> pas </w> si </w> paresseuse </w> ! </w>
Don't </w> be </w> so </w> lazy. </w>	Ne </w> soyez </w> pas </w> si </w> paresse uses </w> ! </w>
Don't </w> be </w> so </w> slow. </w>	Ne </w> sois </w> pas </w> si </w> lent. </w>
Don't </w> come </w> again. </w>	Ne </w> reviens </w> pas. </w>
Don't </w> deceive </w> me. </w>	Ne </w> me </w> trompe </w> pas. </w>
Don't </w> deceive </w> me. </w>	Ne </w> me </w> trompe z </w> pas. </w>
Don't </w> disturb </w> me. </w>	Ne </w> me </w> dérangez </w> pas </w> ! </w>
Don't </w> drink </w> that. </w>	Ne </w> bois </w> pas </w> ça </w> ! </w>
Don't </w> drink </w> that. </w>	Ne </w> buvez </w> pas </w> ça </w> ! </w>
Don't </w> leave </w> town. </w>	Ne </w> quittez </w> pas </w> la </w> ville </w> ! </w>
Don't </w> leave </w> town. </w>	Ne </w> quitte </w> pas </w> la </w> ville. </w>
Don't </w> look </w> at </w> it. </w>	Ne </w> le </w> regarde </w> pas. </w>
Don't </w> look </w> at </w> it. </w>	Ne </w> la </w> regarde </w> pas. </w>
Don't </w> look </w> at </w> me! </w>	Ne </w> me </w> regarde </w> pas </w> ! </w>
Don't </w> look </w> at </w> me! </w>	Ne </w> me </w> regardez </w> pas </w> ! </w>
Don't </w> look </w> at </w> me. </w>	Ne </w> me </w> regarde </w> pas </w> ! </w>
Don't </w> look </w> at </w> me. </w>	Ne </w> me </w> regardez </w> pas </w> ! </w>
Don't </w> look </w> at </w> us. </w>	Ne </w> nous </w> regarde </w> pas. </w>
Don't </w> look </w> at </w> us. </w>	Ne </w> nous </w> regardez </w> pas. </w>
Don't </w> lose </w> heart. </w>	Ne </w> perds </w> pas </w> courage. </w>
Don't </w> lose </w> heart. </w>	Ne </w> perdez </w> pas </w> courage. </w>
Don't </w> make </w> me </w> go. </w>	Ne </w> m'oblige </w> pas </w> à </w> y </w> aller. </w>
Don't </w> make </w> me </w> go. </w>	Ne </w> m'obligez </w> pas </w> à </w> y </w> aller. </w>
Don't </w> make </w> noise. </w>	Ne </w> fais </w> pas </w> de </w> bruit. </w>
Don't </w> mention </w> it. </w>	De </w> rien </w> ! </w>
Don't </w> pick </w> it </w> up. </w>	Ne </w> le </w> ram asse </w> pas. </w>
Don't </w> pick </w> it </w> up. </w>	Ne </w> le </w> ram assez </w> pas. </w>
Don't </w> rip </w> me </w> off! </w>	Ne </w> m'arna que </w> pas </w> ! </w>
Don't </w> say </w> a </w> word. </w>	Pas </w> un </w> mot </w> ! </w>
Don't </w> talk </w> to </w> me! </w>	Me </w> parle </w> pas </w> ! </w>
Don't </w> talk </w> to </w> me! </w>	Ne </w> me </w> parle </w> pas </w> ! </w>
Don't </w> talk </w> to </w> me! </w>	Ne </w> me </w> parlez </w> pas </w> ! </w>
Don't </w> talk </w> to </w> me! </w>	Ne </w> me </w> parle </w> pas </w> ! </w>
Don't </w> talk </w> to </w> me. </w>	Ne </w> me </w> parle </w> pas </w> ! </w>
Don't </w> talk </w> to </w> me. </w>	Ne </w> me </w> parlez </w> pas </w> ! </w>
Don't </w> touch </w> this! </w>	Ne </w> touche </w> pas </w> à </w> ceci </w> ! </w>
Don't </w> touch </w> this! </w>	Ne </w> touchez </w> pas </w> à </w> ceci </w> ! </w>
Don't </w> touch </w> this! </w>	Ne </w> touche </w> pas </w> à </w> ça </w> ! </w>
Don't </w> touch </w> this! </w>	Ne </w> touchez </w> pas </w> à </w> ça </w> ! </w>
Don't </w> touch </w> this! </w>	Pas </w> touche </w> ! </w>
Don't </w> yell </w> at </w> me. </w>	Ne </w> me </w> crie </w> pas </w> dessus. </w>
Don't </w> you </w> get </w> it? </w>	Ne </w> le </w> comprends-tu </w> pas </w> ? </w>
Don't </w> you </w> get </w> it? </w>	Ne </w> cap tes-tu </w> pas </w> ? </w>
Don't </w> you </w> get </w> it? </w>	Ne </w> cap tez-vous </w> pas </w> ? </w>
Don't </w> you </w> get </w> it? </w>	Ne </w> le </w> comprenez-vous </w> pas </w> ? </w>
Don't </w> you </w> get </w> it? </w>	Ne </w> sais is-tu </w> pas </w> ? </w>
Don't </w> you </w> get </w> it? </w>	Ne </w> sais issez-vous </w> pas </w> ? </w>
Drink </w> more </w> water. </w>	Buvez </w> davantage </w> d'eau </w> ! </w>
Drink </w> more </w> water. </w>	Bois </w> davantage </w> d'eau </w> ! </w>
Drink </w> some </w> water. </w>	Bois </w> de </w> l'eau </w> ! </w>
Drink </w> some </w> water. </w>	Buvez </w> de </w> l'eau </w> ! </w>
Drink </w> this </w> juice. </w>	Bois </w> ce </w> jus </w> ! </w>
Drink </w> this </w> juice. </w>	Buvez </w> ce </w> jus </w> ! </w>
Drink s </w> are </w> on </w> me. </w>	Les </w> boissons </w> sont </w> pour </w> moi. </w>
Drink s </w> are </w> on </w> me. </w>	Les </w> verres </w> sont </w> sur </w> mon </w> compte. </w>
Drink s </w> are </w> on </w> me. </w>	Les </w> verres </w> sont </w> pour </w> moi. </w>
Eat </w> meals </w> slowly. </w>	Mange </w> tes </w> repas </w> lentement. </w>
Eat </w> your </w> spinach. </w>	Mange </w> tes </w> épin ards </w> ! </w>
Eat </w> your </w> spinach. </w>	Mangez </w> vos </w> épin ards </w> ! </w>
Eat </w> your </w> ve g gies. </w>	Mange </w> tes </w> légumes </w> ! </w>
Eat </w> your </w> ve g gies. </w>	Mangez </w> vos </w> légumes </w> ! </w>
Enjoy </w> yourselves. </w>	Amusez-vous </w> bien </w> ! </w>
Everybody </w> gro ans. </w>	Tout </w> le </w> monde </w> râ le. </w>
Everybody </w> jumped. </w>	Tout </w> le </w> monde </w> sauta . </w>
Everybody </w> saw </w> it. </w>	Tout </w> le </w> monde </w> l'a </w> vu. </w>
Everybody </w> saw </w> it. </w>	Tout </w> le </w> monde </w> le </w> vit. </w>
Everybody's </w> dead. </w>	Tout </w> le </w> monde </w> est </w> mort. </w>
Everybody's </w> dead. </w>	Tout </w> le </w> monde </w> a </w> can é. </w>
Everybody's </w> dead. </w>	Tout </w> le </w> monde </w> a </w> crevé. </w>
Everybody's </w> here. </w>	Tout </w> le </w> monde </w> est </w> là. </w>
Everybody's </w> home. </w>	Tout </w> le </w> monde </w> est </w> chez </w> lui. </w>
Everybody's </w> safe. </w>	Tout </w> le </w> monde </w> est </w> en </w> sécurité. </w>
Everyone </w> changes. </w>	Tout </w> le </w> monde </w> change. </w>
Everyone </w> cheered. </w>	Tout </w> le </w> monde </w> a </w> applaudi. </w>
Everyone </w> cheered. </w>	Tout </w> le </w> monde </w> applau dit. </w>
Everyone </w> had </w> fun. </w>	Tout </w> le </w> monde </w> s'est </w> amusé. </w>
Everyone </w> is </w> here. </w>	Tout </w> le </w> monde </w> est </w> là. </w>
Everyone </w> laughed. </w>	Tout </w> le </w> monde </w> rit. </w>
Everyone </w> laughed. </w>	Tout </w> le </w> monde </w> a </w> ri. </w>
Everyone </w> noticed. </w>	Tout </w> le </w> monde </w> le </w> remarqu a. </w>
Everyone </w> noticed. </w>	Tout </w> le </w> monde </w> l'a </w> remarqué. </w>
Everyone's </w> lying. </w>	Tout </w> le </w> monde </w> ment. </w>
Everyone's </w> there. </w>	Tout </w> le </w> monde </w> est </w> là. </w>
Everything </w> is </w> OK. </w>	Tout </w> va </w> bien. </w>
Everything </w> is </w> OK. </w>	Tout </w> est </w> en </w> ordre. </w>
Everything </w> is </w> OK. </w>	Tout </w> est </w> bon. </w>
E vil </w> always </w> wins. </w>	Le </w> mal </w> triomphe </w> toujours. </w>
Explain </w> it </w> to </w> me. </w>	Explique -le-moi. </w>
Explain </w> it </w> to </w> me. </w>	Expliquez -le-moi. </w>
Fam ily </w> is </w> family. </w>	La </w> famille, </w> c'est </w> la </w> famille. </w>
Feed </w> the </w> hamster. </w>	Nourris </w> le </w> hamster. </w>
Feed </w> the </w> hamster. </w>	Nourris sez </w> le </w> hamster. </w>
Fight </w> like </w> a </w> man. </w>	B ats -toi </w> comme </w> un </w> homme. </w>
Fight </w> like </w> a </w> man. </w>	Bat tez-vous </w> comme </w> un </w> homme. </w>
Follow </w> my </w> advice. </w>	Suis </w> mon </w> conseil. </w>
Follow </w> my </w> advice. </w>	Suivez </w> mon </w> conseil. </w>
Follow </w> the </w> rules. </w>	Suivez </w> les </w> règles </w> ! </w>
Follow </w> the </w> rules. </w>	Suis </w> les </w> règles </w> ! </w>
Food </w> costs </w> money. </w>	La </w> nourriture </w> coûte </w> de </w> l'argent. </w>
For </w> what </w> purpose? </w>	Dans </w> quel </w> but </w> ? </w>
Forget </w> about </w> her. </w>	Oublie -la. </w>
Forget </w> about </w> her. </w>	Oubliez -la. </w>
Gard en ing </w> is </w> fun. </w>	J ard iner </w> est </w> amusant. </w>
Get </w> away </w> from </w> me. </w>	Lâche-moi </w> ! </w>
Get </w> away </w> from </w> me. </w>	Éloigne-toi </w> de </w> moi </w> ! </w>
Get </w> away </w> from </w> me. </w>	Éloignez-vous </w> de </w> moi </w> ! </w>
Get </w> away </w> from </w> me. </w>	Lâchez-moi </w> ! </w>
Get </w> back </w> to </w> work. </w>	Retournez </w> au </w> travail. </w>
Get </w> into </w> the </w> car. </w>	Rentre </w> dans </w> la </w> voiture. </w>
Get </w> on </w> the </w> horse. </w>	Monte </w> le </w> cheval. </w>
Get </w> on </w> the </w> horse. </w>	Montez </w> le </w> cheval. </w>
Get </w> on </w> your </w> bike. </w>	Monte </w> sur </w> ton </w> vélo. </w>
Get </w> on </w> your </w> feet. </w>	Lève-toi </w> ! </w>
Get </w> on </w> your </w> feet. </w>	Levez-vous </w> ! </w>
Get </w> on </w> your </w> feet. </w>	Mets-toi </w> debout </w> ! </w>
Get </w> on </w> your </w> feet. </w>	Mettez-vous </w> debout </w> ! </w>
Get </w> out </w> of </w> there. </w>	Sortez </w> de </w> là </w> ! </w>
Get </w> out </w> of </w> there. </w>	Sors </w> de </w> là </w> ! </w>
Get </w> to </w> the </w> point ! </w>	Viens -en </w> au </w> fait </w> ! </w>
Get </w> to </w> the </w> point. </w>	Venez -en </w> au </w> fait </w> ! </w>
Get </w> to </w> the </w> point. </w>	Viens -en </w> au </w> fait </w> ! </w>
Give </w> him </w> a </w> break ! </w>	Lâche -le </w> ! </w>
Give </w> him </w> a </w> break ! </w>	Lâchez -le </w> ! </w>
Give </w> me </w> a </w> chance. </w>	Accorde-moi </w> une </w> chance </w> ! </w>
Give </w> me </w> a </w> chance. </w>	Accorde z-moi </w> une </w> chance </w> ! </w>
Give </w> me </w> a </w> hammer. </w>	Donne-moi </w> un </w> marteau. </w>
Give </w> me </w> a </w> hammer. </w>	Donnez-moi </w> un </w> marteau. </w>
Give </w> me </w> a </w> minute. </w>	Donne-moi </w> une </w> minute. </w>
Give </w> me </w> a </w> minute. </w>	Accorde-moi </w> un </w> instant. </w>
Give </w> me </w> a </w> minute. </w>	Donne-moi </w> une </w> minute </w> ! </w>
Give </w> me </w> a </w> minute. </w>	Donnez-moi </w> une </w> minute. </w>
Give </w> me </w> a </w> reason. </w>	Donne-moi </w> une </w> raison. </w>
Give </w> me </w> a </w> reason. </w>	Donnez-moi </w> une </w> raison. </w>
Give </w> me </w> a </w> second. </w>	Accorde-moi </w> une </w> seconde </w> ! </w>
Give </w> me </w> a </w> second. </w>	Accorde z-moi </w> une </w> seconde </w> ! </w>
Give </w> me </w> a </w> second. </w>	Donne-moi </w> une </w> seconde </w> ! </w>
Give </w> me </w> a </w> second. </w>	Donnez-moi </w> une </w> seconde </w> ! </w>
